STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
IN020040900,"MADRAS MINAMBAKKAM, IN",21-05-2000,0,90,104,82
IN020040900,"MADRAS MINAMBAKKAM, IN",22-05-2000,,90,106,84
IN020040900,"MADRAS MINAMBAKKAM, IN",23-05-2000,,90,101,84
IN020040900,"MADRAS MINAMBAKKAM, IN",24-05-2000,,90,101,
IN020040900,"MADRAS MINAMBAKKAM, IN",25-05-2000,,88,99,78
IN020040900,"MADRAS MINAMBAKKAM, IN",26-05-2000,,92,102,83
IN020040900,"MADRAS MINAMBAKKAM, IN",27-05-2000,,89,101,81
IN020040900,"MADRAS MINAMBAKKAM, IN",28-05-2000,,89,102,
IN020040900,"MADRAS MINAMBAKKAM, IN",29-05-2000,,90,102,
IN020040900,"MADRAS MINAMBAKKAM, IN",30-05-2000,,89,103,
IN020040900,"MADRAS MINAMBAKKAM, IN",31-05-2000,,87,96,82
IN020040900,"MADRAS MINAMBAKKAM, IN",01-06-2000,,86,100,
IN020040900,"MADRAS MINAMBAKKAM, IN",02-06-2000,0.04,85,96,
IN020040900,"MADRAS MINAMBAKKAM, IN",03-06-2000,0,86,95,
IN020040900,"MADRAS MINAMBAKKAM, IN",04-06-2000,0.04,85,91,
IN020040900,"MADRAS MINAMBAKKAM, IN",05-06-2000,0,86,92,81
IN020040900,"MADRAS MINAMBAKKAM, IN",06-06-2000,0,86,93,81
IN020040900,"MADRAS MINAMBAKKAM, IN",07-06-2000,,86,96,81
IN020040900,"MADRAS MINAMBAKKAM, IN",08-06-2000,,89,99,
IN020040900,"MADRAS MINAMBAKKAM, IN",09-06-2000,,89,102,81
IN020040900,"MADRAS MINAMBAKKAM, IN",10-06-2000,,90,103,83
IN020040900,"MADRAS MINAMBAKKAM, IN",11-06-2000,,90,101,82
IN020040900,"MADRAS MINAMBAKKAM, IN",12-06-2000,,85,98,
IN020040900,"MADRAS MINAMBAKKAM, IN",13-06-2000,,87,100,
IN020040900,"MADRAS MINAMBAKKAM, IN",14-06-2000,,90,103,81
IN020040900,"MADRAS MINAMBAKKAM, IN",15-06-2000,,88,103,
IN020040900,"MADRAS MINAMBAKKAM, IN",16-06-2000,,90,101,82
IN020040900,"MADRAS MINAMBAKKAM, IN",17-06-2000,0,90,103,82
IN020040900,"MADRAS MINAMBAKKAM, IN",18-06-2000,0,89,99,
IN020040900,"MADRAS MINAMBAKKAM, IN",19-06-2000,,83,101,
IN020040900,"MADRAS MINAMBAKKAM, IN",20-06-2000,,85,98,77
IN020040900,"MADRAS MINAMBAKKAM, IN",21-06-2000,0.04,84,91,
IN020040900,"MADRAS MINAMBAKKAM, IN",22-06-2000,0.04,86,97,
IN020040900,"MADRAS MINAMBAKKAM, IN",23-06-2000,1.77,81,,74
IN020040900,"MADRAS MINAMBAKKAM, IN",24-06-2000,0,86,,79
IN020040900,"MADRAS MINAMBAKKAM, IN",25-06-2000,,89,99,81
IN020040900,"MADRAS MINAMBAKKAM, IN",26-06-2000,,90,99,81
IN020040900,"MADRAS MINAMBAKKAM, IN",27-06-2000,,87,96,
IN020040900,"MADRAS MINAMBAKKAM, IN",28-06-2000,0.01,83,90,
IN020040900,"MADRAS MINAMBAKKAM, IN",29-06-2000,0.39,83,89,74
IN020040900,"MADRAS MINAMBAKKAM, IN",30-06-2000,0.02,87,94,78
IN020040900,"MADRAS MINAMBAKKAM, IN",01-07-2000,0,87,94,80
IN020040900,"MADRAS MINAMBAKKAM, IN",02-07-2000,0.02,85,94,
IN020040900,"MADRAS MINAMBAKKAM, IN",03-07-2000,0.35,80,,75
IN020040900,"MADRAS MINAMBAKKAM, IN",04-07-2000,0.28,79,82,74
IN020040900,"MADRAS MINAMBAKKAM, IN",05-07-2000,0.51,84,90,77
IN020040900,"MADRAS MINAMBAKKAM, IN",06-07-2000,0,84,90,79
IN020040900,"MADRAS MINAMBAKKAM, IN",07-07-2000,0.24,84,95,77
IN020040900,"MADRAS MINAMBAKKAM, IN",08-07-2000,0,86,96,80
